fid,order_id,latitude,longitude,basket_value,delivery duration,profit,revenue,client_id
0,81512055,40.186534954,29.09520261,637.6238,22.016666667,-149.4062,344.3338,client_79144640
1,22267042,40.234744403,28.836608492,373.0099,9.966666667,-17.7624,200.3235,client_24816618
2,88017435,40.217676299,28.903509077,837.5562,7.783333333,-30.7442,432.8338,client_16797643
3,72989589,40.218052274,28.945996687,819.1121,15.466666667,-86.2728,435.2127,client_78716540
4,42175004,40.194676178,28.988171071,187.6337,27.016666667,88.7932,221.4132,client_84428508
5,82096043,40.194337159,28.945631001,259.5149,24.216666667,93.9128,231.0964,client_40439919
6,88861432,40.254776027,28.959960602,738.5247,14.65,-10.5046,399.4427,client_99039373
7,13218467,40.253643512,28.99646949,559.9304,21.55,83.4384,282.3743,client_21388031
8,94134469,40.206151425,28.954023533,280.2475,14.2,126.4114,303.5113,client_37351506
9,27877316,40.256200215,29.017620385,299.5545,13.4,83.6746,174.8446,client_15713423
10,96441644,40.222362907,28.999640867,606.7474,13.116666667,65.935,337.3956,client_50070663
11,63037297,40.201453853,28.986666687,830.6418,25.25,218.2712,705.0427,client_33547915
12,46857184,40.219730339,28.969223531,749.3374,6.85,-8.0314,483.4869,client_70729807
13,82799875,40.220236297,28.960922174,770.4603,7.383333333,182.3728,581.9741,client_62073552
14,19926298,40.217676299,28.903509077,1014.3135,12.433333333,-36.2748,505.9274,client_16797643
15,34910812,40.201997759,28.803999871,714.1715,16.866666667,-44.8422,371.9494,client_41995454
16,81814983,40.214534545,28.998154923,327.7557,10.133333333,45.197,221.14,client_22673375
17,36749135,40.200690483,28.980005085,250.6337,33.466666667,121.7478,261.8678,client_96560189
18,91740132,40.211214553,28.972467408,81.9703,26.166666667,67.2398,137.7498,client_51530205
19,70285867,40.1932215,29.065598398,369.7188,25.933333333,-16.5414,198.101,client_41422778
20,76675347,40.178283882,29.068642706,773.5585,10.3,-13.4194,401.8516,client_77849248
21,41210642,40.264137354,29.013739899,871.0839,16.116666667,-99.29,494.4445,client_21358297
22,51962478,40.17716136,29.073623233,970.9047,40.266666667,111.1965,514.1081,client_31092145
23,90526784,40.229534314,28.848623112,1104.3511,12.566666667,-9.125,500.7857,client_59523664
24,38478819,40.228789434,28.830567822,188.9109,21.566666667,48.1428,132.0228,client_65614690
25,79369336,40.191420011,28.938954882,548.297,14.116666667,-88.2006,304.1985,client_26175264
26,56035765,40.187659626,28.947114497,556.8266,36.533333333,172.1455,508.0628,client_91260807
27,95476730,40.227642918,28.907203898,980.457,8.65,47.3244,501.6961,client_90375108
28,66691856,40.210457438,28.971478008,204.7921,18.95,110.2662,248.0262,client_77694628
29,73498097,40.200306106,29.009284079,1134.9109,45.25,-113.0298,549.2011,client_83814528
30,88044756,40.217057489,28.938649015,123.802,6.7,57.2015,147.5815,client_64376855
31,83347859,40.214795181,28.954222351,947.7127,9.366666667,-21.3641,496.129,client_53607240
32,76531935,40.191900737,29.076109305,956.4356,8.85,-248.3707,441.8693,client_94845143
33,37636478,40.225454269,28.833395876,905.8456,9.45,-99.4657,499.4494,client_85827541
34,16864908,40.216356669,28.888334893,346.0198,9.233333333,57.7513,229.5014,client_18003221
35,86284824,40.223155728,28.980596848,935.6209,15.8,-38.3147,492.2264,client_56036066
