city,district,id,Erkek ve 0-4,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 5-9,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadın ve 0-4,Kadın ve 10-14,Kadın ve 15-19,Kadın ve 20-24,Kadın ve 25-29,Kadın ve 30-34,Kadın ve 35-39,Kadın ve 40-44,Kadın ve 45-49,Kadın ve 50-54,Kadın ve 55-59,Kadın ve 5-9,Kadın ve 60-64,Kadın ve 65-69,Kadın ve 70-74,Kadın ve 75-79,Kadın ve 80-84,Kadın ve 85-89,Kadın ve 90+
Bursa,Büyükorhan,1783,166,188,254,287,285,254,251,293,285,372,352,158,427,399,343,247,134,50,27,144,153,273,248,264,166,186,233,250,370,389,146,471,476,381,344,211,78,41
Bursa,Gemlik,1343,3140,4186,4022,4021,4513,4671,4591,5106,4710,4284,3777,4053,3466,3006,2195,1300,641,290,106,2987,3837,3699,3568,4296,4276,4519,4988,4599,4386,3777,3799,3725,3220,2351,1602,932,517,205
Bursa,Gürsu,1935,3601,4472,4141,3645,4056,4298,4572,4321,3611,3158,2709,4552,2416,1660,973,492,260,120,42,3293,4349,3847,3412,3972,4095,4237,4177,3261,3248,2552,4370,2517,1824,1173,712,404,216,109
Bursa,Harmancık,1799,106,123,122,153,188,176,186,193,189,187,237,100,296,297,197,145,90,41,11,95,113,162,146,163,134,139,138,153,198,274,103,340,331,259,203,141,51,24
Bursa,İnegöl,1411,10515,12564,11590,10567,12068,11375,11729,11964,10492,9761,8137,12868,6857,5017,3142,1894,1032,433,144,9684,11717,10764,9898,12051,11420,11540,11550,10277,9613,7764,12207,7010,5350,3826,2655,1652,768,356
Bursa,İznik,1420,1028,1305,1345,1311,1549,1365,1414,1621,1599,1698,1712,1284,1549,1397,966,583,369,140,55,926,1352,1200,1193,1378,1348,1434,1662,1658,1806,1640,1280,1730,1400,1106,858,532,284,131
Bursa,Karacabey,1434,2308,2956,2882,2823,3107,2897,3057,3204,2888,2869,2616,2923,2711,2235,1626,1021,519,240,103,2279,2926,2641,2490,2740,2796,2859,3042,2977,2885,2778,2747,2770,2392,1880,1358,814,409,200
Bursa,Keles,1457,161,188,206,321,341,289,263,297,358,418,482,164,491,560,444,282,225,85,40,134,165,203,232,217,190,195,265,278,398,491,145,643,548,491,409,327,150,75
Bursa,Kestel,1960,2298,2927,2633,2342,2756,2849,3093,3152,2908,2665,2276,2821,2037,1670,1031,586,294,150,58,2116,2670,2461,2164,2892,2914,2967,3058,2712,2552,2201,2671,2182,1700,1178,792,468,275,140
Bursa,Mudanya,1530,2273,3175,2947,2868,3397,3581,3645,4194,3988,3846,3820,2872,3881,3466,2734,1686,833,360,145,2125,2980,2782,2586,3366,3604,3875,4401,4365,4470,4432,2891,4470,3842,2973,2003,1070,581,270
Bursa,Mustafakemalpaşa,1535,2525,3381,3206,3086,3432,3178,3415,3796,3626,3743,3639,3277,3453,3013,2095,1421,717,340,130,2466,3162,2867,2709,3283,3172,3339,3654,3571,3841,3808,2982,3751,3215,2465,1941,1083,535,264
Bursa,Nilüfer,1829,14360,20061,19763,20402,21414,21910,22993,25179,22450,19015,14958,19499,12341,9497,6634,3785,1803,744,253,13628,19100,19262,21195,22338,22973,24590,26548,22914,19039,14921,18590,12753,10252,7331,4765,2623,1216,631
Bursa,Orhaneli,1553,364,465,475,537,583,513,554,579,563,676,737,413,842,752,543,400,255,128,53,363,439,452,483,477,481,443,512,543,706,757,396,922,813,664,597,328,177,84
Bursa,Orhangazi,1554,2178,2907,2791,2478,2959,2863,3093,3169,3152,3074,2611,2824,2368,1924,1332,803,424,203,87,1988,2639,2470,2154,2787,2901,3008,3216,3060,2922,2604,2618,2532,2026,1574,1171,674,356,171
Bursa,Osmangazi,1832,25863,32800,31868,28818,33108,33649,35190,37857,34632,31280,25794,32632,21100,15861,10790,6401,3449,1504,626,24309,30971,28603,26320,33225,33600,34837,37892,34141,30911,24769,30676,22003,17588,13221,9317,5622,2854,1360
Bursa,Yenişehir,1725,1475,1947,1717,1734,1926,1755,1840,2079,1832,1821,1793,1872,1784,1523,1059,734,412,192,67,1411,1864,1640,1559,1883,1786,1837,1980,1773,1817,1844,1742,1953,1596,1260,1033,590,319,157
Bursa,Yıldırım,1859,20364,26630,24972,22935,24894,24033,24862,26664,24117,22021,17554,26343,15379,11540,7883,4619,2400,1054,405,19581,24674,22601,20275,23811,23712,24849,26700,23771,21689,17560,25062,16183,13158,9421,6566,3841,1933,942
