city,district,municipality,neighbourhood,id,nufus
Bursa,Büyükorhan,Büyükorhan Bel.,Aktaş Mah.,183539,391
Bursa,Büyükorhan,Büyükorhan Bel.,Armutçuk Mah.,11335,209
Bursa,Büyükorhan,Büyükorhan Bel.,Bademlik Mah.,183605,58
Bursa,Büyükorhan,Büyükorhan Bel.,Balaban Mah.,183541,262
Bursa,Büyükorhan,Büyükorhan Bel.,Bayındır Mah.,183543,88
Bursa,Büyükorhan,Büyükorhan Bel.,Burunca Mah.,183545,115
Bursa,Büyükorhan,Büyükorhan Bel.,Çakıryenice Mah.,183547,76
Bursa,Büyükorhan,Büyükorhan Bel.,Çeribaşı Mah.,183549,227
Bursa,Büyükorhan,Büyükorhan Bel.,Cumhuriyet Mah.,11331,421
Bursa,Büyükorhan,Büyükorhan Bel.,Danaçalı Mah.,183553,175
Bursa,Büyükorhan,Büyükorhan Bel.,Danacılar Mah.,183551,200
Bursa,Büyükorhan,Büyükorhan Bel.,Demirler Mah.,183555,86
Bursa,Büyükorhan,Büyükorhan Bel.,Derecik Mah.,183557,105
Bursa,Büyükorhan,Büyükorhan Bel.,Düğüncüler Mah.,183561,118
Bursa,Büyükorhan,Büyükorhan Bel.,Durhasan Mah.,183559,266
Bursa,Büyükorhan,Büyükorhan Bel.,Elekçalı Mah.,183563,51
Bursa,Büyükorhan,Büyükorhan Bel.,Ericek Mah.,183565,259
Bursa,Büyükorhan,Büyükorhan Bel.,Gedikler Mah.,183567,236
Bursa,Büyükorhan,Büyükorhan Bel.,Geynik Mah.,183569,149
Bursa,Büyükorhan,Büyükorhan Bel.,Hacıahmetler Mah.,183571,105
Bursa,Büyükorhan,Büyükorhan Bel.,Hacılar Mah.,183573,122
Bursa,Büyükorhan,Büyükorhan Bel.,Hemşeriler Mah.,183575,220
Bursa,Büyükorhan,Büyükorhan Bel.,Hocahasan Mah.,11333,527
Bursa,Büyükorhan,Büyükorhan Bel.,İsmetiye Mah.,11336,159
Bursa,Büyükorhan,Büyükorhan Bel.,Karaağız Mah.,183577,189
Bursa,Büyükorhan,Büyükorhan Bel.,Karaçukur Mah.,183579,51
Bursa,Büyükorhan,Büyükorhan Bel.,Karalar Mah.,183581,103
Bursa,Büyükorhan,Büyükorhan Bel.,Kayapa Mah.,183583,218
Bursa,Büyükorhan,Büyükorhan Bel.,Kınık Mah.,183535,725
Bursa,Büyükorhan,Büyükorhan Bel.,Kuşlar Mah.,183585,143
Bursa,Büyükorhan,Büyükorhan Bel.,Mazlumlar Mah.,183587,345
Bursa,Büyükorhan,Büyükorhan Bel.,Örencik Mah.,183591,112
Bursa,Büyükorhan,Büyükorhan Bel.,Orhan Mah.,11334,1217
Bursa,Büyükorhan,Büyükorhan Bel.,Osmanlar Mah.,183589,48
Bursa,Büyükorhan,Büyükorhan Bel.,Özlüce Mah.,183593,73
Bursa,Büyükorhan,Büyükorhan Bel.,Perçin Mah.,183595,93
Bursa,Büyükorhan,Büyükorhan Bel.,Pınarköy Mah.,183597,314
Bursa,Büyükorhan,Büyükorhan Bel.,Pirebeyler Mah.,183599,86
Bursa,Büyükorhan,Büyükorhan Bel.,Sarnıç Mah.,183601,260
Bursa,Büyükorhan,Büyükorhan Bel.,Tekerler Mah.,183603,35
Bursa,Büyükorhan,Büyükorhan Bel.,Yenice Mah.,183607,583
Bursa,Büyükorhan,Büyükorhan Bel.,Zaferiye Mah.,183609,224
Bursa,Gemlik,Gemlik Bel.,Adliye Mah.,183611,228
Bursa,Gemlik,Gemlik Bel.,Ata Mah.,11339,2068
Bursa,Gemlik,Gemlik Bel.,Balıkpazarı Mah.,11340,1689
Bursa,Gemlik,Gemlik Bel.,Büyükkumla Mah.,183613,692
Bursa,Gemlik,Gemlik Bel.,Cihatlı Mah.,183615,1864
Bursa,Gemlik,Gemlik Bel.,Cumhuriyet Mah.,196385,15144
Bursa,Gemlik,Gemlik Bel.,Demirsubaşı Mah.,11342,1151
Bursa,Gemlik,Gemlik Bel.,Dr.Ziya Kaya Mah.,11343,17211
Bursa,Gemlik,Gemlik Bel.,Engürücük Mah.,183617,1843
Bursa,Gemlik,Gemlik Bel.,Eşref Dinçer Mah.,11344,21713
Bursa,Gemlik,Gemlik Bel.,Feyziye Mah.,183619,179
Bursa,Gemlik,Gemlik Bel.,Fındıcak Mah.,183621,33
Bursa,Gemlik,Gemlik Bel.,Gençali Mah.,11352,1412
Bursa,Gemlik,Gemlik Bel.,Güvenli Mah.,183623,168
Bursa,Gemlik,Gemlik Bel.,Halitpaşa Mah.,11345,926
Bursa,Gemlik,Gemlik Bel.,Hamidiyeköy Mah.,183625,239
Bursa,Gemlik,Gemlik Bel.,Hamidiye Mah.,11346,16077
Bursa,Gemlik,Gemlik Bel.,Haydariye Mah.,183627,448
Bursa,Gemlik,Gemlik Bel.,Hisar Mah.,11347,7528
Bursa,Gemlik,Gemlik Bel.,Karacaali Mah.,183629,625
Bursa,Gemlik,Gemlik Bel.,Katırlı Mah.,183631,471
Bursa,Gemlik,Gemlik Bel.,Kayhan Mah.,11348,2741
Bursa,Gemlik,Gemlik Bel.,Küçükkumla Mah.,140857,553
Bursa,Gemlik,Gemlik Bel.,Kumla Mah.,140861,6579
Bursa,Gemlik,Gemlik Bel.,Kurşunlu Mah.,140855,1990
